Date,Province,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,Location Level,Population,Population Density,Longitude,Latitude,Total Deaths per 100rb,Month,Year
3/16/2020,Daerah Istimewa Yogyakarta,1,0,1,0,Province,3631015,1158.9,110.4448783,-7.89450185,0,3,2020
3/17/2020,Daerah Istimewa Yogyakarta,1,0,1,0,Province,3631015,1158.9,110.4448783,-7.89450185,0,3,2020
3/17/2020,Jawa Barat,20,2,13,5,Province,45161325,1276.55,107.6037083,-6.920432083,0,3,2020
3/18/2020,Daerah Istimewa Yogyakarta,1,0,1,0,Province,3631015,1158.9,110.4448783,-7.89450185,0,3,2020
3/18/2020,Jawa Barat,24,3,15,6,Province,45161325,1276.55,107.6037083,-6.920432083,0.01,3,2020
3/19/2020,Daerah Istimewa Yogyakarta,1,0,1,0,Province,3631015,1158.9,110.4448783,-7.89450185,0,3,2020
3/19/2020,Jawa Barat,29,4,16,9,Province,45161325,1276.55,107.6037083,-6.920432083,0.01,3,2020
3/20/2020,Jawa Barat,45,8,16,21,Province,45161325,1276.55,107.6037083,-6.920432083,0.02,3,2020
3/20/2020,Daerah Istimewa Yogyakarta,2,0,2,0,Province,3631015,1158.9,110.4448783,-7.89450185,0,3,2020
3/21/2020,Jawa Barat,50,8,16,26,Province,45161325,1276.55,107.6037083,-6.920432083,0.02,3,2020
3/21/2020,Daerah Istimewa Yogyakarta,2,0,2,0,Province,3631015,1158.9,110.4448783,-7.89450185,0,3,2020
3/22/2020,Jawa Barat,53,11,17,25,Province,45161325,1276.55,107.6037083,-6.920432083,0.02,3,2020
3/22/2020,Daerah Istimewa Yogyakarta,2,0,2,0,Province,3631015,1158.9,110.4448783,-7.89450185,0,3,2020
3/23/2020,Jawa Barat,59,15,17,27,Province,45161325,1276.55,107.6037083,-6.920432083,0.03,3,2020
3/24/2020,Jawa Barat,61,17,19,25,Province,45161325,1276.55,107.6037083,-6.920432083,0.04,3,2020
3/25/2020,Jawa Tengah,48,13,16,19,Province,36364072,1108.64,110.2011149,-7.259097177,0.04,3,2020
3/25/2020,Jawa Barat,66,17,20,29,Province,45161325,1276.55,107.6037083,-6.920432083,0.04,3,2020
3/26/2020,Jawa Barat,71,18,20,33,Province,45161325,1276.55,107.6037083,-6.920432083,0.04,3,2020
3/26/2020,Jawa Tengah,52,13,17,22,Province,36364072,1108.64,110.2011149,-7.259097177,0.04,3,2020
3/26/2020,DKI Jakarta,157,63,63,31,Province,10846145,16334.31,106.8361183,-6.204698991,0.58,3,2020
3/27/2020,DKI Jakarta,231,70,69,92,Province,10846145,16334.31,106.8361183,-6.204698991,0.65,3,2020
3/27/2020,Daerah Istimewa Yogyakarta,4,2,2,0,Province,3631015,1158.9,110.4448783,-7.89450185,0.06,3,2020
3/27/2020,Jawa Tengah,60,14,18,28,Province,36364072,1108.64,110.2011149,-7.259097177,0.04,3,2020
3/27/2020,Jawa Barat,87,21,21,45,Province,45161325,1276.55,107.6037083,-6.920432083,0.05,3,2020
3/28/2020,DKI Jakarta,279,79,78,122,Province,10846145,16334.31,106.8361183,-6.204698991,0.73,3,2020
3/28/2020,Daerah Istimewa Yogyakarta,4,2,2,0,Province,3631015,1158.9,110.4448783,-7.89450185,0.06,3,2020
3/28/2020,Jawa Barat,106,24,22,60,Province,45161325,1276.55,107.6037083,-6.920432083,0.05,3,2020
3/28/2020,Jawa Tengah,75,16,20,39,Province,36364072,1108.64,110.2011149,-7.259097177,0.04,3,2020
3/29/2020,Daerah Istimewa Yogyakarta,4,2,2,0,Province,3631015,1158.9,110.4448783,-7.89450185,0.06,3,2020
3/29/2020,DKI Jakarta,331,89,78,164,Province,10846145,16334.31,106.8361183,-6.204698991,0.82,3,2020
3/29/2020,Jawa Barat,133,27,25,81,Province,45161325,1276.55,107.6037083,-6.920432083,0.06,3,2020
3/29/2020,Jawa Tengah,86,19,20,47,Province,36364072,1108.64,110.2011149,-7.259097177,0.05,3,2020
3/30/2020,Jawa Tengah,103,20,21,62,Province,36364072,1108.64,110.2011149,-7.259097177,0.05,3,2020
3/30/2020,DKI Jakarta,364,96,78,190,Province,10846145,16334.31,106.8361183,-6.204698991,0.89,3,2020
3/30/2020,Daerah Istimewa Yogyakarta,6,2,3,1,Province,3631015,1158.9,110.4448783,-7.89450185,0.06,3,2020
3/30/2020,Jawa Barat,152,30,30,92,Province,45161325,1276.55,107.6037083,-6.920432083,0.07,3,2020
3/31/2020,Daerah Istimewa Yogyakarta,11,2,3,6,Province,3631015,1158.9,110.4448783,-7.89450185,0.06,3,2020
